action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002395_opening bottle_to_archery_2PZhuNhBsW4_000030_000040_bg_S0Xwh6F6tz0_000031_000041,opening bottle,archery,skipping rope,opening bottle,clean and jerk,archery,golf driving,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002396_eating ice cream_to_skiing (not slalom or crosscountry)_U39HlHm2gR4_000002_000012_bg_fW9vBYCWHNA_000055_000065,eating ice cream,skiing (not slalom or crosscountry),drinking,playing bass guitar,eating ice cream,skipping rope,skiing (not slalom or crosscountry),3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002397_skiing (not slalom or crosscountry)_to_playing tennis_k1hIvekGoBE_000221_000231_bg_6yj1AlZW5og_000098_000108,skiing (not slalom or crosscountry),playing tennis,playing violin,skiing (not slalom or crosscountry),juggling balls,playing tennis,canoeing or kayaking,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002398_dunking basketball_to_archery_WC2FOUSNyvE_000006_000016_bg_IcXj4je-tto_000000_000010,dunking basketball,archery,dunking basketball,deadlifting,archery,clean and jerk,tying tie,1,3,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002399_playing tennis_to_playing saxophone_RiWnTzH6dxA_000017_000027_bg_FnS-I1SXiVo_000000_000010,playing tennis,playing saxophone,playing tennis,deadlifting,catching or throwing frisbee,playing saxophone,reading newspaper,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002400_climbing ladder_to_playing piano_C3EwcscJQ1I_000002_000012_bg_B98TeRdNznM_000026_000036,climbing ladder,playing piano,climbing ladder,playing trumpet,playing piano,cleaning windows,catching or throwing frisbee,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002401_tying tie_to_playing saxophone_Zb4zYWlp7D4_000383_000393_bg_AWuqlrq58PY_000016_000026,tying tie,playing saxophone,tying tie,eating cake,playing saxophone,playing tennis,catching or throwing frisbee,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002402_playing basketball_to_writing_oShj9Rey2ZE_000097_000107_bg_qtvsw6h3yQo_000228_000238,playing basketball,writing,playing basketball,shooting goal (soccer),walking the dog,skiing slalom,writing,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002403_juggling soccer ball_to_catching or throwing frisbee_oNEHCEWJfJE_000073_000083_bg_i2SUnUVgzCQ_000044_000054,juggling soccer ball,catching or throwing frisbee,playing volleyball,playing violin,playing tennis,juggling soccer ball,catching or throwing frisbee,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002404_playing piano_to_cleaning windows_tR3gnlWGiNU_000004_000014_bg_sn2TKS2zqo0_000061_000071,playing piano,cleaning windows,shooting goal (soccer),catching or throwing baseball,playing piano,playing violin,cleaning windows,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002405_reading book_to_catching or throwing frisbee_j461TJNd5mY_000045_000055_bg_9EioUfhATcw_000004_000014,reading book,catching or throwing frisbee,catching or throwing frisbee,canoeing or kayaking,tying tie,reading book,brushing hair,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002406_clean and jerk_to_shooting basketball_NiYuBZei0aI_000013_000023_bg_0sCSK1Ox5Ts_000046_000056,clean and jerk,shooting basketball,playing guitar,clean and jerk,playing trumpet,shooting basketball,sweeping floor,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002407_deadlifting_to_playing bass guitar_tAlGxratIzc_000000_000010_bg_ap1IV_BKAXo_000004_000014,deadlifting,playing bass guitar,catching or throwing baseball,playing tennis,playing bass guitar,deadlifting,golf driving,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002408_playing piano_to_canoeing or kayaking_Ll776ep8IwA_000014_000024_bg_0lqKvDiwZDc_000171_000181,playing piano,canoeing or kayaking,playing piano,reading newspaper,juggling balls,canoeing or kayaking,driving car,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002409_surfing water_to_eating cake_yF3kyTjZuz4_000000_000010_bg_NhRN8LsNJfc_000064_000074,surfing water,eating cake,climbing a rope,shooting basketball,dunking basketball,eating cake,surfing water,5,4,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002410_playing piano_to_playing bass guitar_QK0rpdpN8oc_000087_000097_bg_aLPrTx4dvvo_000224_000234,playing piano,playing bass guitar,playing accordion,climbing a rope,playing bass guitar,drinking,playing piano,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002411_shooting goal (soccer)_to_playing bass guitar_LNMr6QHA08M_000006_000016_bg_ygLKayPwRZA_000064_000074,shooting goal (soccer),playing bass guitar,playing basketball,shooting goal (soccer),clean and jerk,climbing a rope,playing bass guitar,2,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002412_punching person (boxing)_to_cleaning windows_ZQ3UN79bpWM_000065_000075_bg_NoVUexplPxI_000191_000201,punching person (boxing),cleaning windows,skiing slalom,playing violin,sword fighting,punching person (boxing),cleaning windows,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002413_bowling_to_dribbling basketball_bwlizlTA7Uk_000129_000139_bg_wCTJ9bKn_sI_000180_000190,bowling,dribbling basketball,clean and jerk,eating ice cream,punching person (boxing),bowling,dribbling basketball,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002414_skiing (not slalom or crosscountry)_to_climbing a rope_myRY7zcyklM_001382_001392_bg_4vqno9mmRvU_000025_000035,skiing (not slalom or crosscountry),climbing a rope,canoeing or kayaking,climbing a rope,skiing (not slalom or crosscountry),brushing hair,surfing water,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002415_brushing hair_to_shooting goal (soccer)_6JO9EwAZ7Y0_000023_000033_bg_lwCnqd0E4HI_000003_000013,brushing hair,shooting goal (soccer),brushing hair,driving car,deadlifting,skiing (not slalom or crosscountry),shooting goal (soccer),1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002416_playing trumpet_to_driving car_x0J0c8qcL1A_000000_000010_bg_IBz7PG5fOq0_000015_000025,playing trumpet,driving car,sword fighting,driving car,smoking,hitting baseball,playing trumpet,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002417_flying kite_to_eating cake_3nvWUCaMHIs_000024_000034_bg_IQb0YDHhT-o_000051_000061,flying kite,eating cake,bowling,flying kite,eating cake,deadlifting,skiing (not slalom or crosscountry),2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002418_reading newspaper_to_flying kite_k_GPg7aoJvM_000294_000304_bg_8IRYUWc1dn0_000193_000203,reading newspaper,flying kite,reading newspaper,flying kite,climbing a rope,canoeing or kayaking,smoking,1,2,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002419_canoeing or kayaking_to_playing accordion_neGcxrCAyug_000075_000085_bg_YgXLcOtQcSg_000028_000038,canoeing or kayaking,playing accordion,playing saxophone,bowling,playing accordion,canoeing or kayaking,driving car,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002420_punching person (boxing)_to_sword fighting_GCeJ0S7BWj4_000342_000352_bg_wV7OgMM4I28_000109_000119,punching person (boxing),sword fighting,sweeping floor,reading newspaper,sword fighting,tying tie,punching person (boxing),5,3,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002421_hurdling_to_cleaning windows_keFnOl0RleQ_000002_000012_bg_VXqSVV_-XB0_000001_000011,hurdling,cleaning windows,opening bottle,smoking,cleaning windows,flying kite,hurdling,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002422_playing saxophone_to_dribbling basketball_TpoL20ZVZE4_000204_000214_bg_252W2TFVj6U_000037_000047,playing saxophone,dribbling basketball,dribbling basketball,hitting baseball,eating ice cream,shooting basketball,playing saxophone,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002423_juggling balls_to_writing_JGljiUsqTrI_000142_000152_bg_TMR6LGVvQYQ_000570_000580,juggling balls,writing,writing,smoking,juggling balls,playing tennis,bowling,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002424_playing saxophone_to_playing basketball_IukQi46e0_M_000001_000011_bg_KtqngYZbwJc_000512_000522,playing saxophone,playing basketball,playing basketball,playing saxophone,opening bottle,clean and jerk,climbing a rope,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002425_cleaning windows_to_playing guitar_z6Xahf4nv7U_000129_000139_bg_wmWCtlyvzWM_000113_000123,cleaning windows,playing guitar,walking the dog,playing guitar,cleaning windows,smoking,punching person (boxing),3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002426_playing piano_to_sweeping floor_6Mc8e7lgJtk_000011_000021_bg_o6Q7NLnM7sQ_000370_000380,playing piano,sweeping floor,archery,playing piano,sweeping floor,playing saxophone,clean and jerk,2,3,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002427_canoeing or kayaking_to_flying kite_ive9UcpyQzc_000027_000037_bg_BJ4DdzKi-GE_000008_000018,canoeing or kayaking,flying kite,playing tennis,canoeing or kayaking,playing basketball,playing accordion,flying kite,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002428_hitting baseball_to_punching person (boxing)_0Fet8TyoNR4_000007_000017_bg_EzVsl4ZXUl8_000146_000156,hitting baseball,punching person (boxing),playing guitar,dunking basketball,hitting baseball,driving car,punching person (boxing),3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002429_catching or throwing frisbee_to_skiing slalom_KvgYLMfQh8Q_000012_000022_bg_UK9r7mu9A-s_000483_000493,catching or throwing frisbee,skiing slalom,reading book,skiing slalom,catching or throwing frisbee,sweeping floor,juggling soccer ball,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002430_playing bass guitar_to_dunking basketball_--GF746y6UM_000496_000506_bg_y_-ivQSPV0Q_000075_000085,playing bass guitar,dunking basketball,brushing hair,playing tennis,playing bass guitar,skiing slalom,dunking basketball,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002431_cleaning windows_to_playing saxophone_Yh2-DcIWt88_000006_000016_bg_tAQ57N-P4Uc_000021_000031,cleaning windows,playing saxophone,deadlifting,playing saxophone,playing volleyball,cleaning windows,writing,4,2,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002432_bowling_to_playing piano_PO7vXwGJ-os_000663_000673_bg_9UJsk6sts_o_000052_000062,bowling,playing piano,sword fighting,playing piano,bowling,brushing hair,playing violin,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002433_brushing teeth_to_punching person (boxing)_5G-5aOnyDwo_000016_000026_bg_6xJjmvMgRs4_000187_000197,brushing teeth,punching person (boxing),punching person (boxing),surfing water,climbing a rope,brushing teeth,juggling balls,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002434_clean and jerk_to_canoeing or kayaking_B98EOBpM5YQ_000017_000027_bg_Bi5SWEY6uH8_000034_000044,clean and jerk,canoeing or kayaking,canoeing or kayaking,clean and jerk,sweeping floor,juggling soccer ball,playing bass guitar,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002435_opening bottle_to_skiing slalom_9A9XdI8Kudo_000056_000066_bg_snvZDqfJ9Mw_000105_000115,opening bottle,skiing slalom,bowling,punching person (boxing),playing accordion,opening bottle,skiing slalom,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002436_canoeing or kayaking_to_opening bottle_0V61r7VFl9E_000179_000189_bg_vDYKtFCxbgg_000003_000013,canoeing or kayaking,opening bottle,canoeing or kayaking,opening bottle,drinking,playing bass guitar,surfing water,1,2,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002437_driving car_to_shooting basketball_QkLN_QBF1hI_000174_000184_bg_y1dW_hxJ70o_000001_000011,driving car,shooting basketball,playing bass guitar,playing piano,driving car,playing basketball,shooting basketball,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002438_catching or throwing baseball_to_playing saxophone_aU2ByztjE60_000009_000019_bg_Y1NEWHZywDM_000008_000018,catching or throwing baseball,playing saxophone,catching or throwing baseball,reading book,archery,playing saxophone,flying kite,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002439_playing guitar_to_playing violin_7oUvm4e9oQ8_000279_000289_bg_t2XntpSO4Yo_000105_000115,playing guitar,playing violin,bowling,playing violin,deadlifting,playing guitar,playing basketball,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002440_reading newspaper_to_eating cake_kRQ3AINof7I_001252_001262_bg_ntDFgioEXGE_000022_000032,reading newspaper,eating cake,playing guitar,reading newspaper,dribbling basketball,eating cake,smoking,2,4,A,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002441_playing tennis_to_brushing teeth_KUPwOAgtqOo_000004_000014_bg_xCtFp27ilbU_000003_000013,playing tennis,brushing teeth,opening bottle,playing tennis,brushing teeth,reading book,eating ice cream,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002442_skiing slalom_to_deadlifting_Ch_wt_nV2k4_000702_000712_bg_tAlGxratIzc_000000_000010,skiing slalom,deadlifting,deadlifting,brushing hair,drinking,skiing slalom,cleaning windows,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002443_hitting baseball_to_clean and jerk_vvGiH-TCmcI_000021_000031_bg_bNwMVXuF8C0_000046_000056,hitting baseball,clean and jerk,clean and jerk,playing basketball,writing,hitting baseball,playing accordion,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002444_playing saxophone_to_skiing (not slalom or crosscountry)_cg-WQl3YCVY_000205_000215_bg_bKM3pS6y2iU_000032_000042,playing saxophone,skiing (not slalom or crosscountry),playing saxophone,canoeing or kayaking,sword fighting,skiing (not slalom or crosscountry),sweeping floor,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002445_reading newspaper_to_eating ice cream_0NZewzomYbA_000000_000010_bg_4qY0sJQYohk_000008_000018,reading newspaper,eating ice cream,eating ice cream,playing saxophone,reading newspaper,canoeing or kayaking,brushing teeth,3,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002446_catching or throwing frisbee_to_eating cake__cyz8Z0xjwg_000088_000098_bg_do7YH2z_x1w_000122_000132,catching or throwing frisbee,eating cake,eating cake,catching or throwing frisbee,playing bass guitar,driving car,hurdling,2,1,B,True,False
